timestamp, index, memory.total [MiB], memory.reserved [MiB], memory.free [MiB], memory.used [MiB]
2023/02/09 12:27:49.411, 0, 40960, 575, 40365, 19
2023/02/09 12:27:49.411, 1, 40960, 575, 40342, 42
2023/02/09 12:27:49.411, 2, 40960, 575, 40365, 19
2023/02/09 12:27:49.411, 3, 40960, 575, 14109, 26275
2023/02/09 12:27:49.421, 0, 40960, 575, 40365, 19
2023/02/09 12:27:49.422, 1, 40960, 575, 40342, 42
2023/02/09 12:27:49.422, 2, 40960, 575, 40365, 19
2023/02/09 12:27:49.422, 3, 40960, 575, 14109, 26275
2023/02/09 12:27:49.432, 0, 40960, 575, 40365, 19
2023/02/09 12:27:49.432, 1, 40960, 575, 40342, 42
2023/02/09 12:27:49.432, 2, 40960, 575, 40365, 19
2023/02/09 12:27:49.432, 3, 40960, 575, 14109, 26275
2023/02/09 12:27:49.442, 0, 40960, 575, 40365, 19
2023/02/09 12:27:49.442, 1, 40960, 575, 40342, 42
2023/02/09 12:27:49.442, 2, 40960, 575, 40365, 19
2023/02/09 12:27:49.442, 3, 40960, 575, 14109, 26275
2023/02/09 12:27:49.452, 0, 40960, 575, 40365, 19
2023/02/09 12:27:49.452, 1, 40960, 575, 40342, 42
2023/02/09 12:27:49.452, 2, 40960, 575, 40365, 19
2023/02/09 12:27:49.452, 3, 40960, 575, 14109, 26275
2023/02/09 12:27:49.462, 0, 40960, 575, 40365, 19
2023/02/09 12:27:49.462, 1, 40960, 575, 40342, 42
2023/02/09 12:27:49.462, 2, 40960, 575, 40365, 19
2023/02/09 12:27:49.462, 3, 40960, 575, 14109, 26275
2023/02/09 12:27:49.472, 0, 40960, 575, 40365, 19
2023/02/09 12:27:49.472, 1, 40960, 575, 40342, 42
2023/02/09 12:27:49.472, 2, 40960, 575, 40365, 19
2023/02/09 12:27:49.472, 3, 40960, 575, 14109, 26275
2023/02/09 12:27:49.483, 0, 40960, 575, 40365, 19
2023/02/09 12:27:49.483, 1, 40960, 575, 40342, 42
2023/02/09 12:27:49.483, 2, 40960, 575, 40365, 19
2023/02/09 12:27:49.483, 3, 40960, 575, 14109, 26275
2023/02/09 12:27:49.493, 0, 40960, 575, 40365, 19
2023/02/09 12:27:49.493, 1, 40960, 575, 40342, 42
2023/02/09 12:27:49.493, 2, 40960, 575, 40365, 19
2023/02/09 12:27:49.493, 3, 40960, 575, 14109, 26275
2023/02/09 12:27:49.503, 0, 40960, 575, 40365, 19
2023/02/09 12:27:49.503, 1, 40960, 575, 40342, 42
2023/02/09 12:27:49.503, 2, 40960, 575, 40365, 19
2023/02/09 12:27:49.503, 3, 40960, 575, 14109, 26275
2023/02/09 12:27:49.513, 0, 40960, 575, 40365, 19
2023/02/09 12:27:49.513, 1, 40960, 575, 40342, 42
2023/02/09 12:27:49.513, 2, 40960, 575, 40365, 19
2023/02/09 12:27:49.513, 3, 40960, 575, 14109, 26275
2023/02/09 12:27:49.523, 0, 40960, 575, 40365, 19
2023/02/09 12:27:49.523, 1, 40960, 575, 40342, 42
2023/02/09 12:27:49.523, 2, 40960, 575, 40365, 19
2023/02/09 12:27:49.523, 3, 40960, 575, 14109, 26275
2023/02/09 12:27:49.533, 0, 40960, 575, 40365, 19
2023/02/09 12:27:49.533, 1, 40960, 575, 40342, 42
2023/02/09 12:27:49.533, 2, 40960, 575, 40365, 19
2023/02/09 12:27:49.534, 3, 40960, 575, 14109, 26275
2023/02/09 12:27:49.544, 0, 40960, 575, 40365, 19
2023/02/09 12:27:49.544, 1, 40960, 575, 40342, 42
2023/02/09 12:27:49.544, 2, 40960, 575, 40365, 19
2023/02/09 12:27:49.544, 3, 40960, 575, 14109, 26275
2023/02/09 12:27:49.554, 0, 40960, 575, 40365, 19
2023/02/09 12:27:49.554, 1, 40960, 575, 40342, 42
2023/02/09 12:27:49.554, 2, 40960, 575, 40365, 19
2023/02/09 12:27:49.554, 3, 40960, 575, 14109, 26275
