identifier	time_total_s	time_perevent_s
Reader:EventGenerator	3.941	0.3941
Algorithm:ParticleSelector	0.02628	0.002628
Algorithm:FatrasSimulation	2.014	0.2014
Algorithm:DigitizationAlgorithm	0.3849	0.03849
Algorithm:SpacePointMaker	0.1356	0.01356
Algorithm:TrackFindingMLBasedAlgorithm	9.179	0.9179
Algorithm:TrackParamsEstimationAlgorithm	0.2042	0.02042
Algorithm:TrackFittingAlgorithm	2.451	0.2451
Algorithm:TruthTrackFinder	0.03206	0.003206
Algorithm:TrackParamsEstimationAlgorithm	0.1521	0.01521
Algorithm:TrackFittingAlgorithm	2.41	0.241
Algorithm:TrackFindingAlgorithm	10.06	1.006
Algorithm:TruthSeedSelector	0.03327	0.003327
Algorithm:SpacePointMaker	0.1417	0.01417
Algorithm:SeedingAlgorithm	0.7028	0.07028
Algorithm:TrackParamsEstimationAlgorithm	0.04283	0.004283
Algorithm:TrackFindingAlgorithm	28.96	2.896
Algorithm:TrajectoriesToPrototracks	0.1583	0.01583
Writer:CsvParticleWriter	1.787	0.1787
Writer:CsvMeasurementWriter	2.4	0.24
Writer:CsvSimHitWriter	2.442	0.2442
Writer:CsvMeasurementWriter	2.455	0.2455
Writer:CsvTrackingGeometryWriter	4.361e-05	4.361e-06
Writer:TrackFinderPerformanceWriter	0.2095	0.02095
Writer:RootTrajectorySummaryWriter	0.1365	0.01365
Writer:RootTrajectorySummaryWriter	0.2037	0.02037
Writer:RootTrajectorySummaryWriter	0.5013	0.05013
Writer:TrackFinderPerformanceWriter	0.3437	0.03437
Writer:RootTrajectorySummaryWriter	1.519	0.1519
Writer:CsvParticleWriter:endRun	2.3e-07	2.3e-08
Writer:CsvMeasurementWriter:endRun	5.1e-07	5.1e-08
Writer:CsvSimHitWriter:endRun	1.9e-07	1.9e-08
Writer:CsvMeasurementWriter:endRun	7e-08	7e-09
Writer:CsvTrackingGeometryWriter:endRun	0.2967	0.02967
Writer:TrackFinderPerformanceWriter:endRun	0.08279	0.008279
Writer:RootTrajectorySummaryWriter:endRun	0.03663	0.003663
Writer:RootTrajectorySummaryWriter:endRun	0.0214	0.00214
Writer:RootTrajectorySummaryWriter:endRun	0.05019	0.005019
Writer:TrackFinderPerformanceWriter:endRun	0.01597	0.001597
Writer:RootTrajectorySummaryWriter:endRun	0.03053	0.003053
