identifier	time_total_s	time_perevent_s
Reader:EventGenerator	3.771	0.3771
Algorithm:ParticleSelector	0.02547	0.002547
Algorithm:FatrasSimulation	2.011	0.2011
Algorithm:DigitizationAlgorithm	0.377	0.0377
Algorithm:SpacePointMaker	0.1213	0.01213
Algorithm:TrackFindingMLBasedAlgorithm	8.592	0.8592
Algorithm:TrackParamsEstimationAlgorithm	0.1607	0.01607
Algorithm:TrackFittingAlgorithm	2.348	0.2348
Algorithm:TruthTrackFinder	0.03074	0.003074
Algorithm:TrackParamsEstimationAlgorithm	0.1469	0.01469
Algorithm:TrackFittingAlgorithm	2.346	0.2346
Algorithm:TrackFindingAlgorithm	8.824	0.8824
Algorithm:TruthSeedSelector	0.03258	0.003258
Algorithm:SpacePointMaker	0.133	0.0133
Algorithm:SeedingAlgorithm	0.6874	0.06874
Algorithm:TrackParamsEstimationAlgorithm	0.04525	0.004525
Algorithm:TrackFindingAlgorithm	27.62	2.762
Algorithm:TrajectoriesToPrototracks	0.1558	0.01558
Writer:CsvParticleWriter	1.752	0.1752
Writer:CsvMeasurementWriter	2.348	0.2348
Writer:CsvSimHitWriter	2.414	0.2414
Writer:CsvMeasurementWriter	2.316	0.2316
Writer:CsvTrackingGeometryWriter	3.093e-05	3.093e-06
Writer:TrackFinderPerformanceWriter	0.2018	0.02018
Writer:RootTrajectorySummaryWriter	0.1863	0.01863
Writer:RootTrajectorySummaryWriter	0.1906	0.01906
Writer:RootTrajectorySummaryWriter	0.4546	0.04546
Writer:TrackFinderPerformanceWriter	0.3157	0.03157
Writer:RootTrajectorySummaryWriter	1.388	0.1388
Writer:CsvParticleWriter:endRun	1.7e-07	1.7e-08
Writer:CsvMeasurementWriter:endRun	4.6e-07	4.6e-08
Writer:CsvSimHitWriter:endRun	1.5e-07	1.5e-08
Writer:CsvMeasurementWriter:endRun	4e-08	4e-09
Writer:CsvTrackingGeometryWriter:endRun	0.2508	0.02508
Writer:TrackFinderPerformanceWriter:endRun	0.08319	0.008319
Writer:RootTrajectorySummaryWriter:endRun	0.0194	0.00194
Writer:RootTrajectorySummaryWriter:endRun	0.01734	0.001734
Writer:RootTrajectorySummaryWriter:endRun	0.0209	0.00209
Writer:TrackFinderPerformanceWriter:endRun	0.01051	0.001051
Writer:RootTrajectorySummaryWriter:endRun	0.01144	0.001144
