timestamp, index, memory.total [MiB], memory.reserved [MiB], memory.free [MiB], memory.used [MiB]
2022/11/16 14:34:32.219, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.220, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.220, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.220, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.230, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.230, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.230, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.230, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.240, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.240, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.240, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.240, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.250, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.250, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.250, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.250, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.260, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.260, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.260, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.260, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.270, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.270, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.270, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.270, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.281, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.281, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.281, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.281, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.291, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.291, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.291, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.291, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.301, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.301, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.301, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.301, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.311, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.311, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.311, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.311, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.321, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.321, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.321, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.321, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.332, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.332, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.332, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.332, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.342, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.342, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.342, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.342, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.352, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.352, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.352, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.352, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.362, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.362, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.362, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.362, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.372, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.372, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.373, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.373, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.383, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.383, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.383, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.383, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.393, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.393, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.393, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.393, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.403, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.403, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.403, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.403, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.413, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.413, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.413, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.413, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.424, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.424, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.424, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.424, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.434, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.434, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.434, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.434, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.444, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.444, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.444, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.444, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.454, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.454, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.454, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.454, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.464, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.464, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.464, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.464, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.475, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.475, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.475, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.475, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.485, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.485, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.485, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.485, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.495, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.495, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.495, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.495, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.505, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.505, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.505, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.505, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.515, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.516, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.516, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.516, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.526, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.526, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.526, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.526, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.536, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.536, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.536, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.536, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.546, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.546, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.546, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.546, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.556, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.556, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.556, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.556, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.567, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.567, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.567, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.567, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.577, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.577, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.577, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.577, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.587, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.587, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.587, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.587, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.597, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.597, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.597, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.597, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.607, 0, 40960, 575, 16899, 23485
2022/11/16 14:34:32.607, 1, 40960, 575, 2309, 38075
2022/11/16 14:34:32.607, 2, 40960, 575, 40381, 3
2022/11/16 14:34:32.608, 3, 40960, 575, 40381, 3
2022/11/16 14:34:32.618, 0, 40960, 575, 16899, 23485
