identifier	time_total_s	time_perevent_s
Reader:EventGenerator	4.032	0.4032
Algorithm:ParticleSelector	0.02522	0.002522
Algorithm:FatrasSimulation	1.692	0.1692
Algorithm:DigitizationAlgorithm	0.4017	0.04017
Algorithm:SpacePointMaker	0.1015	0.01015
Algorithm:TrackFindingMLBasedAlgorithm	8.597	0.8597
Algorithm:TrackParamsEstimationAlgorithm	0.1457	0.01457
Algorithm:TrackFittingAlgorithm	2.312	0.2312
Algorithm:TruthTrackFinder	0.03025	0.003025
Algorithm:TrackParamsEstimationAlgorithm	0.1332	0.01332
Algorithm:TrackFittingAlgorithm	2.343	0.2343
Algorithm:TrackFindingAlgorithm	8.984	0.8984
Algorithm:TruthSeedSelector	0.03201	0.003201
Algorithm:SpacePointMaker	0.09299	0.009299
Algorithm:SeedingAlgorithm	0.6913	0.06913
Algorithm:TrackParamsEstimationAlgorithm	0.05119	0.005119
Algorithm:TrackFindingAlgorithm	27.62	2.762
Algorithm:TrajectoriesToPrototracks	0.1316	0.01316
Writer:CsvParticleWriter	1.792	0.1792
Writer:CsvMeasurementWriter	2.35	0.235
Writer:CsvSimHitWriter	2.477	0.2477
Writer:CsvMeasurementWriter	2.348	0.2348
Writer:CsvTrackingGeometryWriter	3.242e-05	3.242e-06
Writer:TrackFinderPerformanceWriter	0.1693	0.01693
Writer:RootTrajectorySummaryWriter	0.1904	0.01904
Writer:RootTrajectorySummaryWriter	0.1933	0.01933
Writer:RootTrajectorySummaryWriter	0.4732	0.04732
Writer:TrackFinderPerformanceWriter	0.3129	0.03129
Writer:RootTrajectorySummaryWriter	1.431	0.1431
Writer:CsvParticleWriter:endRun	1.6e-07	1.6e-08
Writer:CsvMeasurementWriter:endRun	2.8e-07	2.8e-08
Writer:CsvSimHitWriter:endRun	1.5e-07	1.5e-08
Writer:CsvMeasurementWriter:endRun	3e-08	3e-09
Writer:CsvTrackingGeometryWriter:endRun	0.2484	0.02484
Writer:TrackFinderPerformanceWriter:endRun	0.06986	0.006986
Writer:RootTrajectorySummaryWriter:endRun	0.008395	0.0008395
Writer:RootTrajectorySummaryWriter:endRun	0.008778	0.0008778
Writer:RootTrajectorySummaryWriter:endRun	0.01141	0.001141
Writer:TrackFinderPerformanceWriter:endRun	0.009029	0.0009029
Writer:RootTrajectorySummaryWriter:endRun	0.0005609	5.609e-05
