timestamp, index, memory.total [MiB], memory.reserved [MiB], memory.free [MiB], memory.used [MiB]
2022/11/16 14:23:23.553, 0, 40960, 575, 16899, 23485
2022/11/16 14:23:23.553, 1, 40960, 575, 9413, 30971
2022/11/16 14:23:23.553, 2, 40960, 575, 40381, 3
2022/11/16 14:23:23.553, 3, 40960, 575, 40381, 3
2022/11/16 14:23:23.563, 0, 40960, 575, 16899, 23485
2022/11/16 14:23:23.563, 1, 40960, 575, 9413, 30971
2022/11/16 14:23:23.563, 2, 40960, 575, 40381, 3
2022/11/16 14:23:23.563, 3, 40960, 575, 40381, 3
2022/11/16 14:23:23.573, 0, 40960, 575, 16899, 23485
2022/11/16 14:23:23.573, 1, 40960, 575, 9413, 30971
2022/11/16 14:23:23.573, 2, 40960, 575, 40381, 3
2022/11/16 14:23:23.573, 3, 40960, 575, 40381, 3
2022/11/16 14:23:23.583, 0, 40960, 575, 16899, 23485
2022/11/16 14:23:23.583, 1, 40960, 575, 9413, 30971
2022/11/16 14:23:23.583, 2, 40960, 575, 40381, 3
2022/11/16 14:23:23.583, 3, 40960, 575, 40381, 3
2022/11/16 14:23:23.594, 0, 40960, 575, 16899, 23485
2022/11/16 14:23:23.594, 1, 40960, 575, 9413, 30971
2022/11/16 14:23:23.594, 2, 40960, 575, 40381, 3
2022/11/16 14:23:23.594, 3, 40960, 575, 40381, 3
2022/11/16 14:23:23.604, 0, 40960, 575, 16899, 23485
2022/11/16 14:23:23.604, 1, 40960, 575, 9413, 30971
2022/11/16 14:23:23.604, 2, 40960, 575, 40381, 3
2022/11/16 14:23:23.604, 3, 40960, 575, 40381, 3
2022/11/16 14:23:23.614, 0, 40960, 575, 16899, 23485
2022/11/16 14:23:23.614, 1, 40960, 575, 9413, 30971
2022/11/16 14:23:23.614, 2, 40960, 575, 40381, 3
2022/11/16 14:23:23.614, 3, 40960, 575, 40381, 3
2022/11/16 14:23:23.624, 0, 40960, 575, 16899, 23485
2022/11/16 14:23:23.624, 1, 40960, 575, 9413, 30971
2022/11/16 14:23:23.624, 2, 40960, 575, 40381, 3
2022/11/16 14:23:23.624, 3, 40960, 575, 40381, 3
