identifier	time_total_s	time_perevent_s
Reader:EventGenerator	3.817	0.3817
Algorithm:ParticleSelector	0.02396	0.002396
Algorithm:FatrasSimulation	6.271	0.6271
Algorithm:DigitizationAlgorithm	0.9273	0.09273
Algorithm:SpacePointMaker	0.246	0.0246
Algorithm:TrackFindingMLBasedAlgorithm	32.69	3.269
Algorithm:TrackParamsEstimationAlgorithm	0.3888	0.03888
Algorithm:TrackFittingAlgorithm	7.375	0.7375
Algorithm:TruthTrackFinder	0.0838	0.00838
Algorithm:TrackParamsEstimationAlgorithm	0.3528	0.03528
Algorithm:TrackFittingAlgorithm	7.79	0.779
Algorithm:TrackFindingAlgorithm	101.1	10.11
Algorithm:TruthSeedSelector	0.1031	0.01031
Algorithm:SpacePointMaker	0.2344	0.02344
Algorithm:SeedingAlgorithm	3.057	0.3057
Algorithm:TrackParamsEstimationAlgorithm	0.1336	0.01336
Algorithm:TrackFindingAlgorithm	311.9	31.19
Algorithm:TrajectoriesToPrototracks	1.377	0.1377
Writer:CsvParticleWriter	1.719	0.1719
Writer:CsvMeasurementWriter	5.252	0.5252
Writer:CsvSimHitWriter	5.591	0.5591
Writer:CsvMeasurementWriter	5.245	0.5245
Writer:CsvTrackingGeometryWriter	5.226e-05	5.226e-06
Writer:TrackFinderPerformanceWriter	0.6361	0.06361
Writer:RootTrajectorySummaryWriter	0.5399	0.05399
Writer:RootTrajectorySummaryWriter	0.5849	0.05849
Writer:RootTrajectorySummaryWriter	4.939	0.4939
Writer:TrackFinderPerformanceWriter	4	0.4
Writer:RootTrajectorySummaryWriter	16.08	1.608
Writer:CsvParticleWriter:endRun	2e-07	2e-08
Writer:CsvMeasurementWriter:endRun	1.6e-07	1.6e-08
Writer:CsvSimHitWriter:endRun	1.5e-07	1.5e-08
Writer:CsvMeasurementWriter:endRun	6e-08	6e-09
Writer:CsvTrackingGeometryWriter:endRun	0.2563	0.02563
Writer:TrackFinderPerformanceWriter:endRun	0.01939	0.001939
Writer:RootTrajectorySummaryWriter:endRun	0.0009948	9.948e-05
Writer:RootTrajectorySummaryWriter:endRun	0.0005923	5.923e-05
Writer:RootTrajectorySummaryWriter:endRun	0.0005297	5.297e-05
Writer:TrackFinderPerformanceWriter:endRun	0.1839	0.01839
Writer:RootTrajectorySummaryWriter:endRun	0.0005647	5.647e-05
