timestamp, index, memory.total [MiB], memory.reserved [MiB], memory.free [MiB], memory.used [MiB]
2022/11/11 12:14:42.106, 0, 40960, 575, 12405, 27979
2022/11/11 12:14:42.106, 1, 40960, 575, 27295, 13089
2022/11/11 12:14:42.106, 2, 40960, 575, 17911, 22473
2022/11/11 12:14:42.106, 3, 40960, 575, 38185, 2199
2022/11/11 12:14:42.116, 0, 40960, 575, 12405, 27979
2022/11/11 12:14:42.116, 1, 40960, 575, 27295, 13089
2022/11/11 12:14:42.116, 2, 40960, 575, 17911, 22473
2022/11/11 12:14:42.116, 3, 40960, 575, 38185, 2199
2022/11/11 12:14:42.126, 0, 40960, 575, 12405, 27979
2022/11/11 12:14:42.126, 1, 40960, 575, 27295, 13089
2022/11/11 12:14:42.127, 2, 40960, 575, 17911, 22473
2022/11/11 12:14:42.127, 3, 40960, 575, 38185, 2199
2022/11/11 12:14:42.137, 0, 40960, 575, 12405, 27979
2022/11/11 12:14:42.137, 1, 40960, 575, 27295, 13089
2022/11/11 12:14:42.137, 2, 40960, 575, 17911, 22473
2022/11/11 12:14:42.137, 3, 40960, 575, 38185, 2199
2022/11/11 12:14:42.147, 0, 40960, 575, 12405, 27979
2022/11/11 12:14:42.147, 1, 40960, 575, 27295, 13089
2022/11/11 12:14:42.147, 2, 40960, 575, 17911, 22473
2022/11/11 12:14:42.147, 3, 40960, 575, 38185, 2199
2022/11/11 12:14:42.157, 0, 40960, 575, 12405, 27979
2022/11/11 12:14:42.157, 1, 40960, 575, 27295, 13089
2022/11/11 12:14:42.157, 2, 40960, 575, 17911, 22473
2022/11/11 12:14:42.157, 3, 40960, 575, 38185, 2199
2022/11/11 12:14:42.167, 0, 40960, 575, 12405, 27979
2022/11/11 12:14:42.167, 1, 40960, 575, 27295, 13089
2022/11/11 12:14:42.167, 2, 40960, 575, 17911, 22473
2022/11/11 12:14:42.167, 3, 40960, 575, 38185, 2199
2022/11/11 12:14:42.177, 0, 40960, 575, 12405, 27979
