timestamp, index, memory.total [MiB], memory.reserved [MiB], memory.free [MiB], memory.used [MiB]
2022/11/11 12:25:11.695, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.695, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.695, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.695, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.705, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.705, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.705, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.705, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.715, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.715, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.715, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.715, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.725, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.726, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.726, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.726, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.736, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.736, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.736, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.736, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.746, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.746, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.746, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.746, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.756, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.756, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.756, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.756, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.766, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.766, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.766, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.766, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.776, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.776, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.776, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.776, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.787, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.787, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.787, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.787, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.797, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.797, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.797, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.797, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.807, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.807, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.807, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.807, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.817, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.817, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.817, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.817, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.827, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.827, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.827, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.827, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.837, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.837, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.837, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.837, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.848, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.848, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.848, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.848, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.858, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.858, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.858, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.858, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.868, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.868, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.868, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.868, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.878, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.878, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.878, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.878, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.889, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.889, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.889, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.889, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.899, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.899, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.899, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.899, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.909, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.909, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.909, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.909, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.919, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.919, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.919, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.919, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.930, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.930, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.930, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.930, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.940, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.940, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.940, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.940, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.950, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.950, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.950, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.950, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.960, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.960, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.960, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.960, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.970, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.971, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.971, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.971, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.981, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.981, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.981, 2, 40960, 575, 17911, 22473
2022/11/11 12:25:11.981, 3, 40960, 575, 38185, 2199
2022/11/11 12:25:11.991, 0, 40960, 575, 12405, 27979
2022/11/11 12:25:11.991, 1, 40960, 575, 27295, 13089
2022/11/11 12:25:11.991, 2, 40960, 575, 17911, 22473
