identifier	time_total_s	time_perevent_s
Reader:EventGenerator	3.758	0.3758
Algorithm:ParticleSelector	0.02374	0.002374
Algorithm:FatrasSimulation	1.632	0.1632
Algorithm:DigitizationAlgorithm	0.3717	0.03717
Algorithm:SpacePointMaker	0.1004	0.01004
Algorithm:TrackFindingMLBasedAlgorithm	9.047	0.9047
Algorithm:TrackParamsEstimationAlgorithm	0.2227	0.02227
Algorithm:TrackFittingAlgorithm	2.389	0.2389
Writer:CsvParticleWriter	1.705	0.1705
Writer:CsvMeasurementWriter	2.3	0.23
Writer:CsvSimHitWriter	2.385	0.2385
Writer:CsvMeasurementWriter	2.336	0.2336
Writer:CsvTrackingGeometryWriter	3.842e-05	3.842e-06
Writer:TrackFinderPerformanceWriter	0.1936	0.01936
Writer:RootTrajectorySummaryWriter	0.1414	0.01414
Writer:CsvParticleWriter:endRun	1.8e-07	1.8e-08
Writer:CsvMeasurementWriter:endRun	1.6e-07	1.6e-08
Writer:CsvSimHitWriter:endRun	1.5e-07	1.5e-08
Writer:CsvMeasurementWriter:endRun	3e-08	3e-09
Writer:CsvTrackingGeometryWriter:endRun	0.3178	0.03178
Writer:TrackFinderPerformanceWriter:endRun	0.08042	0.008042
Writer:RootTrajectorySummaryWriter:endRun	0.02703	0.002703
