identifier	time_total_s	time_perevent_s
Reader:EventGenerator	3.76	0.376
Algorithm:ParticleSelector	0.02376	0.002376
Algorithm:FatrasSimulation	1.636	0.1636
Algorithm:DigitizationAlgorithm	0.3697	0.03697
Algorithm:SpacePointMaker	0.09625	0.009625
Algorithm:TrackFindingMLBasedAlgorithm	8.825	0.8825
Algorithm:TrackParamsEstimationAlgorithm	0.2063	0.02063
Algorithm:TrackFittingAlgorithm	2.38	0.238
Writer:CsvParticleWriter	1.709	0.1709
Writer:CsvMeasurementWriter	2.296	0.2296
Writer:CsvSimHitWriter	2.373	0.2373
Writer:CsvMeasurementWriter	2.275	0.2275
Writer:CsvTrackingGeometryWriter	5.42e-05	5.42e-06
Writer:TrackFinderPerformanceWriter	0.1922	0.01922
Writer:RootTrajectorySummaryWriter	0.1295	0.01295
Writer:CsvParticleWriter:endRun	3.3e-07	3.3e-08
Writer:CsvMeasurementWriter:endRun	2.7e-07	2.7e-08
Writer:CsvSimHitWriter:endRun	2.6e-07	2.6e-08
Writer:CsvMeasurementWriter:endRun	5e-08	5e-09
Writer:CsvTrackingGeometryWriter:endRun	0.2604	0.02604
Writer:TrackFinderPerformanceWriter:endRun	0.09469	0.009469
Writer:RootTrajectorySummaryWriter:endRun	0.02694	0.002694
