identifier	time_total_s	time_perevent_s
Reader:EventGenerator	3.965	0.3965
Algorithm:ParticleSelector	0.02515	0.002515
Algorithm:FatrasSimulation	1.677	0.1677
Algorithm:DigitizationAlgorithm	0.3946	0.03946
Algorithm:SpacePointMaker	0.1022	0.01022
Algorithm:TrackFindingMLBasedAlgorithm	9.688	0.9688
Algorithm:TrackParamsEstimationAlgorithm	0.2153	0.02153
Algorithm:TrackFittingAlgorithm	2.431	0.2431
Algorithm:TruthTrackFinder	0.03043	0.003043
Algorithm:TrackParamsEstimationAlgorithm	0.1329	0.01329
Algorithm:TrackFittingAlgorithm	2.306	0.2306
Algorithm:TrackFindingAlgorithm	9.671	0.9671
Algorithm:TruthSeedSelector	0.03163	0.003163
Algorithm:SpacePointMaker	0.1041	0.01041
Algorithm:SeedingAlgorithm	0.6611	0.06611
Algorithm:TrackParamsEstimationAlgorithm	0.04681	0.004681
Algorithm:TrackFindingAlgorithm	28.78	2.878
Algorithm:TrajectoriesToPrototracks	0.1478	0.01478
Writer:CsvParticleWriter	1.745	0.1745
Writer:CsvMeasurementWriter	2.327	0.2327
Writer:CsvSimHitWriter	2.448	0.2448
Writer:CsvMeasurementWriter	2.315	0.2315
Writer:CsvTrackingGeometryWriter	2.095e-05	2.095e-06
Writer:TrackFinderPerformanceWriter	0.1874	0.01874
Writer:RootTrajectorySummaryWriter	0.1346	0.01346
Writer:RootTrajectorySummaryWriter	0.1942	0.01942
Writer:RootTrajectorySummaryWriter	0.5047	0.05047
Writer:TrackFinderPerformanceWriter	0.3259	0.03259
Writer:RootTrajectorySummaryWriter	1.513	0.1513
Writer:CsvParticleWriter:endRun	3.2e-07	3.2e-08
Writer:CsvMeasurementWriter:endRun	3.7e-07	3.7e-08
Writer:CsvSimHitWriter:endRun	2.9e-07	2.9e-08
Writer:CsvMeasurementWriter:endRun	5e-08	5e-09
Writer:CsvTrackingGeometryWriter:endRun	0.2586	0.02586
Writer:TrackFinderPerformanceWriter:endRun	0.1168	0.01168
Writer:RootTrajectorySummaryWriter:endRun	0.02469	0.002469
Writer:RootTrajectorySummaryWriter:endRun	0.007869	0.0007869
Writer:RootTrajectorySummaryWriter:endRun	0.01171	0.001171
Writer:TrackFinderPerformanceWriter:endRun	0.008864	0.0008864
Writer:RootTrajectorySummaryWriter:endRun	0.0006971	6.971e-05
