identifier	time_total_s	time_perevent_s
Reader:EventGenerator	3.903	0.3903
Algorithm:ParticleSelector	0.02465	0.002465
Algorithm:FatrasSimulation	7.351	0.7351
Algorithm:DigitizationAlgorithm	1.061	0.1061
Algorithm:SpacePointMaker	0.313	0.0313
Algorithm:TrackFindingMLBasedAlgorithm	23.41	2.341
Algorithm:TrackParamsEstimationAlgorithm	7.215	0.7215
Algorithm:TrackFittingAlgorithm	8.65	0.865
Writer:CsvParticleWriter	1.79	0.179
Writer:CsvMeasurementWriter	5.837	0.5837
Writer:CsvSimHitWriter	6.344	0.6344
Writer:CsvMeasurementWriter	5.816	0.5816
Writer:CsvTrackingGeometryWriter	4.16e-05	4.16e-06
Writer:TrackFinderPerformanceWriter	0.7924	0.07924
Writer:RootTrajectorySummaryWriter	0.4096	0.04096
Writer:CsvParticleWriter:endRun	3.4e-07	3.4e-08
Writer:CsvMeasurementWriter:endRun	8.5e-07	8.5e-08
Writer:CsvSimHitWriter:endRun	3.5e-07	3.5e-08
Writer:CsvMeasurementWriter:endRun	4e-08	4e-09
Writer:CsvTrackingGeometryWriter:endRun	0.2806	0.02806
Writer:TrackFinderPerformanceWriter:endRun	0.1924	0.01924
Writer:RootTrajectorySummaryWriter:endRun	0.001283	0.0001283
