identifier	time_total_s	time_perevent_s
Reader:EventGenerator	3.79	0.379
Algorithm:ParticleSelector	0.02424	0.002424
Algorithm:FatrasSimulation	7.057	0.7057
Algorithm:DigitizationAlgorithm	1.032	0.1032
Algorithm:SpacePointMaker	0.2846	0.02846
Algorithm:TrackFindingMLBasedAlgorithm	19.03	1.903
Algorithm:TrackParamsEstimationAlgorithm	7.034	0.7034
Algorithm:TrackFittingAlgorithm	8.19	0.819
Algorithm:TruthTrackFinder	0.09447	0.009447
Algorithm:TrackParamsEstimationAlgorithm	0.3975	0.03975
Algorithm:TrackFittingAlgorithm	9.247	0.9247
Algorithm:TrackFindingAlgorithm	167.9	16.79
Algorithm:TruthSeedSelector	0.1142	0.01142
Algorithm:SpacePointMaker	0.2274	0.02274
Algorithm:SeedingAlgorithm	3.593	0.3593
Algorithm:TrackParamsEstimationAlgorithm	0.1431	0.01431
Algorithm:TrackFindingAlgorithm	488	48.8
Algorithm:TrajectoriesToPrototracks	2.152	0.2152
Writer:CsvParticleWriter	1.706	0.1706
Writer:CsvMeasurementWriter	5.603	0.5603
Writer:CsvSimHitWriter	6.004	0.6004
Writer:CsvMeasurementWriter	5.648	0.5648
Writer:CsvTrackingGeometryWriter	0.0001247	1.247e-05
Writer:TrackFinderPerformanceWriter	0.7866	0.07866
Writer:RootTrajectorySummaryWriter	0.345	0.0345
Writer:RootTrajectorySummaryWriter	0.5814	0.05814
Writer:RootTrajectorySummaryWriter	6.557	0.6557
Writer:TrackFinderPerformanceWriter	6.446	0.6446
Writer:RootTrajectorySummaryWriter	22.48	2.248
Writer:CsvParticleWriter:endRun	3.2e-07	3.2e-08
Writer:CsvMeasurementWriter:endRun	3e-07	3e-08
Writer:CsvSimHitWriter:endRun	2.9e-07	2.9e-08
Writer:CsvMeasurementWriter:endRun	5e-08	5e-09
Writer:CsvTrackingGeometryWriter:endRun	0.2469	0.02469
Writer:TrackFinderPerformanceWriter:endRun	0.02117	0.002117
Writer:RootTrajectorySummaryWriter:endRun	0.001102	0.0001102
Writer:RootTrajectorySummaryWriter:endRun	0.0009439	9.439e-05
Writer:RootTrajectorySummaryWriter:endRun	0.0009117	9.117e-05
Writer:TrackFinderPerformanceWriter:endRun	0.2346	0.02346
Writer:RootTrajectorySummaryWriter:endRun	0.00116	0.000116
