timestamp, index, memory.total [MiB], memory.reserved [MiB], memory.free [MiB], memory.used [MiB]
2022/11/16 14:20:04.216, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.216, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.216, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.216, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.226, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.226, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.226, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.226, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.236, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.236, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.236, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.236, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.246, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.246, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.246, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.246, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.257, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.257, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.257, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.257, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.267, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.267, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.267, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.267, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.277, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.277, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.277, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.277, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.287, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.287, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.287, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.287, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.297, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.297, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.297, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.297, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.307, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.307, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.307, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.307, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.318, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.318, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.318, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.318, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.328, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.328, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.328, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.328, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.338, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.338, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.338, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.338, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.348, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.348, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.348, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.348, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.358, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.359, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.359, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.359, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.369, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.369, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.369, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.369, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.379, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.379, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.379, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.379, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.389, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.389, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.389, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.389, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.399, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.400, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.400, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.400, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.410, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.410, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.410, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.410, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.420, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.420, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.420, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.420, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.430, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.430, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.430, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.430, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.440, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.440, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.440, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.440, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.451, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.451, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.451, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.451, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.461, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.461, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.461, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.461, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.471, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.471, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.471, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.471, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.481, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.481, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.481, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.481, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.491, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.491, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.491, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.491, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.501, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.502, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.502, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.502, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.512, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.512, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.512, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.512, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.522, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.522, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.522, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.522, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.532, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.532, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.532, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.532, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.542, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.542, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.542, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.542, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.552, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.552, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.552, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.552, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.563, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.563, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.563, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.563, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.573, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.573, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.573, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.573, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.583, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.583, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.583, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.583, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.593, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.593, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.593, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.593, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.604, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.604, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.604, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.604, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.614, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.614, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.614, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.614, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.624, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.624, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.624, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.624, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.634, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.634, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.634, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.634, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.645, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.645, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.645, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.645, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.655, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.655, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.655, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.655, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.665, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.665, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.665, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.665, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.676, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.676, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.676, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.676, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.686, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.686, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.686, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.686, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.696, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.696, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.696, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.696, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.706, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.706, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.706, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.706, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.716, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.717, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.717, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.717, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.727, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.727, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.727, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.727, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.737, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.737, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.737, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.737, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.747, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.747, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.747, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.747, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.757, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.758, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.758, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.758, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.768, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.768, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.768, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.768, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.778, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.778, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.778, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.778, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.788, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.788, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.788, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.788, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.798, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.799, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.799, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.799, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.809, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.809, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.809, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.809, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.819, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.819, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.819, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.819, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.829, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.829, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.829, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.829, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.839, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.839, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.840, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.840, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.850, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.850, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.850, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.850, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.860, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.860, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.860, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.860, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.870, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.870, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.870, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.870, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.880, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.880, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.881, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.881, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.891, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.891, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.891, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.891, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.901, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.901, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.901, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.901, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.911, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.911, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.911, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.911, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.921, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.921, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.921, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.922, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.932, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.932, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.932, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.932, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.942, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.942, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.942, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.942, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.952, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.952, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.952, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.952, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.962, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.963, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.963, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.963, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.973, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.973, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.973, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.973, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.983, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.983, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.983, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.983, 3, 40960, 575, 40381, 3
2022/11/16 14:20:04.993, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:04.993, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:04.993, 2, 40960, 575, 40381, 3
2022/11/16 14:20:04.993, 3, 40960, 575, 40381, 3
2022/11/16 14:20:05.003, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:05.004, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:05.004, 2, 40960, 575, 40381, 3
2022/11/16 14:20:05.004, 3, 40960, 575, 40381, 3
2022/11/16 14:20:05.014, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:05.014, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:05.014, 2, 40960, 575, 40381, 3
2022/11/16 14:20:05.014, 3, 40960, 575, 40381, 3
2022/11/16 14:20:05.024, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:05.024, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:05.024, 2, 40960, 575, 40381, 3
2022/11/16 14:20:05.024, 3, 40960, 575, 40381, 3
2022/11/16 14:20:05.034, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:05.034, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:05.034, 2, 40960, 575, 40381, 3
2022/11/16 14:20:05.034, 3, 40960, 575, 40381, 3
2022/11/16 14:20:05.045, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:05.045, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:05.045, 2, 40960, 575, 40381, 3
2022/11/16 14:20:05.045, 3, 40960, 575, 40381, 3
2022/11/16 14:20:05.055, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:05.055, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:05.055, 2, 40960, 575, 40381, 3
2022/11/16 14:20:05.055, 3, 40960, 575, 40381, 3
2022/11/16 14:20:05.065, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:05.065, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:05.065, 2, 40960, 575, 40381, 3
2022/11/16 14:20:05.065, 3, 40960, 575, 40381, 3
2022/11/16 14:20:05.075, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:05.075, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:05.075, 2, 40960, 575, 40381, 3
2022/11/16 14:20:05.075, 3, 40960, 575, 40381, 3
2022/11/16 14:20:05.085, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:05.086, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:05.086, 2, 40960, 575, 40381, 3
2022/11/16 14:20:05.086, 3, 40960, 575, 40381, 3
2022/11/16 14:20:05.096, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:05.096, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:05.096, 2, 40960, 575, 40381, 3
2022/11/16 14:20:05.096, 3, 40960, 575, 40381, 3
2022/11/16 14:20:05.106, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:05.106, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:05.106, 2, 40960, 575, 40381, 3
2022/11/16 14:20:05.106, 3, 40960, 575, 40381, 3
2022/11/16 14:20:05.116, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:05.116, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:05.116, 2, 40960, 575, 40381, 3
2022/11/16 14:20:05.116, 3, 40960, 575, 40381, 3
2022/11/16 14:20:05.126, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:05.127, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:05.127, 2, 40960, 575, 40381, 3
2022/11/16 14:20:05.127, 3, 40960, 575, 40381, 3
2022/11/16 14:20:05.137, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:05.137, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:05.137, 2, 40960, 575, 40381, 3
2022/11/16 14:20:05.137, 3, 40960, 575, 40381, 3
2022/11/16 14:20:05.147, 0, 40960, 575, 16899, 23485
2022/11/16 14:20:05.147, 1, 40960, 575, 9413, 30971
2022/11/16 14:20:05.147, 2, 40960, 575, 40381, 3
2022/11/16 14:20:05.147, 3, 40960, 575, 40381, 3
2022/11/16 14:20:05.157, 0, 40960, 575, 16899, 23485
