identifier	time_total_s	time_perevent_s
Reader:EventGenerator	3.745	0.3745
Algorithm:ParticleSelector	0.02382	0.002382
Algorithm:FatrasSimulation	1.597	0.1597
Algorithm:DigitizationAlgorithm	0.3838	0.03838
Algorithm:SpacePointMaker	0.1013	0.01013
Algorithm:TrackFindingMLBasedAlgorithm	9.126	0.9126
Algorithm:TrackParamsEstimationAlgorithm	0.2128	0.02128
Algorithm:TrackFittingAlgorithm	2.328	0.2328
Algorithm:TruthTrackFinder	0.02917	0.002917
Algorithm:TrackParamsEstimationAlgorithm	0.1261	0.01261
Algorithm:TrackFittingAlgorithm	2.26	0.226
Algorithm:TrackFindingAlgorithm	9.448	0.9448
Algorithm:TruthSeedSelector	0.03026	0.003026
Algorithm:SpacePointMaker	0.09492	0.009492
Algorithm:SeedingAlgorithm	0.6362	0.06362
Algorithm:TrackParamsEstimationAlgorithm	0.04468	0.004468
Algorithm:TrackFindingAlgorithm	27.48	2.748
Algorithm:TrajectoriesToPrototracks	0.1349	0.01349
Writer:CsvParticleWriter	1.671	0.1671
Writer:CsvMeasurementWriter	2.271	0.2271
Writer:CsvSimHitWriter	2.369	0.2369
Writer:CsvMeasurementWriter	2.255	0.2255
Writer:CsvTrackingGeometryWriter	4.774e-05	4.774e-06
Writer:TrackFinderPerformanceWriter	0.1962	0.01962
Writer:RootTrajectorySummaryWriter	0.1282	0.01282
Writer:RootTrajectorySummaryWriter	0.1871	0.01871
Writer:RootTrajectorySummaryWriter	0.4917	0.04917
Writer:TrackFinderPerformanceWriter	0.313	0.0313
Writer:RootTrajectorySummaryWriter	1.456	0.1456
Writer:CsvParticleWriter:endRun	3.1e-07	3.1e-08
Writer:CsvMeasurementWriter:endRun	2.9e-07	2.9e-08
Writer:CsvSimHitWriter:endRun	2.7e-07	2.7e-08
Writer:CsvMeasurementWriter:endRun	4e-08	4e-09
Writer:CsvTrackingGeometryWriter:endRun	0.2565	0.02565
Writer:TrackFinderPerformanceWriter:endRun	0.08253	0.008253
Writer:RootTrajectorySummaryWriter:endRun	0.02567	0.002567
Writer:RootTrajectorySummaryWriter:endRun	0.007832	0.0007832
Writer:RootTrajectorySummaryWriter:endRun	0.01166	0.001166
Writer:TrackFinderPerformanceWriter:endRun	0.009039	0.0009039
Writer:RootTrajectorySummaryWriter:endRun	0.0009885	9.885e-05
