timestamp, index, memory.total [MiB], memory.reserved [MiB], memory.free [MiB], memory.used [MiB]
2022/11/16 14:09:20.756, 0, 40960, 575, 16899, 23485
2022/11/16 14:09:20.756, 1, 40960, 575, 40381, 3
2022/11/16 14:09:20.756, 2, 40960, 575, 40381, 3
2022/11/16 14:09:20.756, 3, 40960, 575, 40381, 3
2022/11/16 14:09:20.766, 0, 40960, 575, 16899, 23485
2022/11/16 14:09:20.766, 1, 40960, 575, 40381, 3
2022/11/16 14:09:20.767, 2, 40960, 575, 40381, 3
2022/11/16 14:09:20.767, 3, 40960, 575, 40381, 3
2022/11/16 14:09:20.777, 0, 40960, 575, 16899, 23485
2022/11/16 14:09:20.777, 1, 40960, 575, 40381, 3
2022/11/16 14:09:20.777, 2, 40960, 575, 40381, 3
2022/11/16 14:09:20.777, 3, 40960, 575, 40381, 3
2022/11/16 14:09:20.787, 0, 40960, 575, 16899, 23485
2022/11/16 14:09:20.787, 1, 40960, 575, 40381, 3
2022/11/16 14:09:20.787, 2, 40960, 575, 40381, 3
2022/11/16 14:09:20.787, 3, 40960, 575, 40381, 3
2022/11/16 14:09:20.797, 0, 40960, 575, 16899, 23485
2022/11/16 14:09:20.797, 1, 40960, 575, 40381, 3
2022/11/16 14:09:20.797, 2, 40960, 575, 40381, 3
2022/11/16 14:09:20.797, 3, 40960, 575, 40381, 3
2022/11/16 14:09:20.807, 0, 40960, 575, 16899, 23485
2022/11/16 14:09:20.807, 1, 40960, 575, 40381, 3
2022/11/16 14:09:20.807, 2, 40960, 575, 40381, 3
2022/11/16 14:09:20.807, 3, 40960, 575, 40381, 3
2022/11/16 14:09:20.817, 0, 40960, 575, 16899, 23485
2022/11/16 14:09:20.817, 1, 40960, 575, 40381, 3
2022/11/16 14:09:20.817, 2, 40960, 575, 40381, 3
2022/11/16 14:09:20.817, 3, 40960, 575, 40381, 3
2022/11/16 14:09:20.827, 0, 40960, 575, 16899, 23485
2022/11/16 14:09:20.827, 1, 40960, 575, 40381, 3
2022/11/16 14:09:20.828, 2, 40960, 575, 40381, 3
2022/11/16 14:09:20.828, 3, 40960, 575, 40381, 3
2022/11/16 14:09:20.838, 0, 40960, 575, 16899, 23485
2022/11/16 14:09:20.838, 1, 40960, 575, 40381, 3
2022/11/16 14:09:20.838, 2, 40960, 575, 40381, 3
2022/11/16 14:09:20.838, 3, 40960, 575, 40381, 3
2022/11/16 14:09:20.848, 0, 40960, 575, 16899, 23485
2022/11/16 14:09:20.848, 1, 40960, 575, 40381, 3
2022/11/16 14:09:20.848, 2, 40960, 575, 40381, 3
2022/11/16 14:09:20.848, 3, 40960, 575, 40381, 3
2022/11/16 14:09:20.858, 0, 40960, 575, 16899, 23485
2022/11/16 14:09:20.858, 1, 40960, 575, 40381, 3
2022/11/16 14:09:20.858, 2, 40960, 575, 40381, 3
2022/11/16 14:09:20.858, 3, 40960, 575, 40381, 3
2022/11/16 14:09:20.868, 0, 40960, 575, 16899, 23485
2022/11/16 14:09:20.868, 1, 40960, 575, 40381, 3
2022/11/16 14:09:20.868, 2, 40960, 575, 40381, 3
2022/11/16 14:09:20.868, 3, 40960, 575, 40381, 3
2022/11/16 14:09:20.878, 0, 40960, 575, 16899, 23485
2022/11/16 14:09:20.878, 1, 40960, 575, 40381, 3
2022/11/16 14:09:20.879, 2, 40960, 575, 40381, 3
2022/11/16 14:09:20.879, 3, 40960, 575, 40381, 3
2022/11/16 14:09:20.889, 0, 40960, 575, 16899, 23485
2022/11/16 14:09:20.889, 1, 40960, 575, 40381, 3
2022/11/16 14:09:20.889, 2, 40960, 575, 40381, 3
2022/11/16 14:09:20.889, 3, 40960, 575, 40381, 3
2022/11/16 14:09:20.899, 0, 40960, 575, 16899, 23485
2022/11/16 14:09:20.899, 1, 40960, 575, 40381, 3
