identifier	time_total_s	time_perevent_s
Reader:EventGenerator	3.781	0.3781
Algorithm:ParticleSelector	0.02383	0.002383
Algorithm:FatrasSimulation	6.372	0.6372
Algorithm:DigitizationAlgorithm	0.9044	0.09044
Algorithm:SpacePointMaker	0.2314	0.02314
Algorithm:TrackFindingMLBasedAlgorithm	16.69	1.669
Algorithm:TrackParamsEstimationAlgorithm	1.202	0.1202
Algorithm:TrackFittingAlgorithm	6.895	0.6895
Algorithm:TruthTrackFinder	0.08245	0.008245
Algorithm:TrackParamsEstimationAlgorithm	0.3524	0.03524
Algorithm:TrackFittingAlgorithm	7.47	0.747
Algorithm:TrackFindingAlgorithm	105.9	10.59
Algorithm:TruthSeedSelector	0.1047	0.01047
Algorithm:SpacePointMaker	0.2116	0.02116
Algorithm:SeedingAlgorithm	3.043	0.3043
Algorithm:TrackParamsEstimationAlgorithm	0.132	0.0132
Algorithm:TrackFindingAlgorithm	317.1	31.71
Algorithm:TrajectoriesToPrototracks	1.449	0.1449
Writer:CsvParticleWriter	1.713	0.1713
Writer:CsvMeasurementWriter	5.14	0.514
Writer:CsvSimHitWriter	5.567	0.5567
Writer:CsvMeasurementWriter	5.121	0.5121
Writer:CsvTrackingGeometryWriter	0.0001168	1.168e-05
Writer:TrackFinderPerformanceWriter	0.6537	0.06537
Writer:RootTrajectorySummaryWriter	0.3962	0.03962
Writer:RootTrajectorySummaryWriter	0.5905	0.05905
Writer:RootTrajectorySummaryWriter	5.343	0.5343
Writer:TrackFinderPerformanceWriter	4.148	0.4148
Writer:RootTrajectorySummaryWriter	17.43	1.743
Writer:CsvParticleWriter:endRun	2e-07	2e-08
Writer:CsvMeasurementWriter:endRun	4.3e-07	4.3e-08
Writer:CsvSimHitWriter:endRun	1.5e-07	1.5e-08
Writer:CsvMeasurementWriter:endRun	1.1e-07	1.1e-08
Writer:CsvTrackingGeometryWriter:endRun	0.2541	0.02541
Writer:TrackFinderPerformanceWriter:endRun	0.02412	0.002412
Writer:RootTrajectorySummaryWriter:endRun	0.001162	0.0001162
Writer:RootTrajectorySummaryWriter:endRun	0.000998	9.98e-05
Writer:RootTrajectorySummaryWriter:endRun	0.0009861	9.861e-05
Writer:TrackFinderPerformanceWriter:endRun	0.2724	0.02724
Writer:RootTrajectorySummaryWriter:endRun	0.001254	0.0001254
