timestamp, index, memory.total [MiB], memory.reserved [MiB], memory.free [MiB], memory.used [MiB]
2022/11/10 16:44:33.342, 0, 40960, 575, 12405, 27979
2022/11/10 16:44:33.342, 1, 40960, 575, 27295, 13089
2022/11/10 16:44:33.342, 2, 40960, 575, 17911, 22473
2022/11/10 16:44:33.342, 3, 40960, 575, 40381, 3
2022/11/10 16:44:33.353, 0, 40960, 575, 12405, 27979
2022/11/10 16:44:33.353, 1, 40960, 575, 27295, 13089
2022/11/10 16:44:33.353, 2, 40960, 575, 17911, 22473
2022/11/10 16:44:33.353, 3, 40960, 575, 40381, 3
2022/11/10 16:44:33.363, 0, 40960, 575, 12405, 27979
2022/11/10 16:44:33.363, 1, 40960, 575, 27295, 13089
2022/11/10 16:44:33.363, 2, 40960, 575, 17911, 22473
2022/11/10 16:44:33.363, 3, 40960, 575, 40381, 3
2022/11/10 16:44:33.373, 0, 40960, 575, 12405, 27979
2022/11/10 16:44:33.373, 1, 40960, 575, 27295, 13089
2022/11/10 16:44:33.373, 2, 40960, 575, 17911, 22473
2022/11/10 16:44:33.373, 3, 40960, 575, 40381, 3
2022/11/10 16:44:33.383, 0, 40960, 575, 12405, 27979
2022/11/10 16:44:33.383, 1, 40960, 575, 27295, 13089
2022/11/10 16:44:33.383, 2, 40960, 575, 17911, 22473
2022/11/10 16:44:33.383, 3, 40960, 575, 40381, 3
2022/11/10 16:44:33.393, 0, 40960, 575, 12405, 27979
2022/11/10 16:44:33.393, 1, 40960, 575, 27295, 13089
2022/11/10 16:44:33.393, 2, 40960, 575, 17911, 22473
2022/11/10 16:44:33.393, 3, 40960, 575, 40381, 3
2022/11/10 16:44:33.403, 0, 40960, 575, 12405, 27979
2022/11/10 16:44:33.403, 1, 40960, 575, 27295, 13089
2022/11/10 16:44:33.403, 2, 40960, 575, 17911, 22473
2022/11/10 16:44:33.404, 3, 40960, 575, 40381, 3
2022/11/10 16:44:33.414, 0, 40960, 575, 12405, 27979
2022/11/10 16:44:33.414, 1, 40960, 575, 27295, 13089
2022/11/10 16:44:33.414, 2, 40960, 575, 17911, 22473
2022/11/10 16:44:33.414, 3, 40960, 575, 40381, 3
2022/11/10 16:44:33.424, 0, 40960, 575, 12405, 27979
2022/11/10 16:44:33.424, 1, 40960, 575, 27295, 13089
2022/11/10 16:44:33.424, 2, 40960, 575, 17911, 22473
2022/11/10 16:44:33.424, 3, 40960, 575, 40381, 3
2022/11/10 16:44:33.434, 0, 40960, 575, 12405, 27979
2022/11/10 16:44:33.434, 1, 40960, 575, 27295, 13089
2022/11/10 16:44:33.434, 2, 40960, 575, 17911, 22473
2022/11/10 16:44:33.434, 3, 40960, 575, 40381, 3
2022/11/10 16:44:33.444, 0, 40960, 575, 12405, 27979
2022/11/10 16:44:33.444, 1, 40960, 575, 27295, 13089
2022/11/10 16:44:33.444, 2, 40960, 575, 17911, 22473
2022/11/10 16:44:33.444, 3, 40960, 575, 40381, 3
2022/11/10 16:44:33.455, 0, 40960, 575, 12405, 27979
2022/11/10 16:44:33.455, 1, 40960, 575, 27295, 13089
2022/11/10 16:44:33.455, 2, 40960, 575, 17911, 22473
2022/11/10 16:44:33.455, 3, 40960, 575, 40381, 3
2022/11/10 16:44:33.465, 0, 40960, 575, 12405, 27979
2022/11/10 16:44:33.465, 1, 40960, 575, 27295, 13089
2022/11/10 16:44:33.465, 2, 40960, 575, 17911, 22473
2022/11/10 16:44:33.465, 3, 40960, 575, 40381, 3
