identifier	time_total_s	time_perevent_s
Reader:EventGenerator	4.014	0.4014
Algorithm:ParticleSelector	0.02561	0.002561
Algorithm:FatrasSimulation	1.751	0.1751
Algorithm:DigitizationAlgorithm	0.402	0.0402
Algorithm:SpacePointMaker	0.1096	0.01096
Algorithm:TrackFindingMLBasedAlgorithm	8.633	0.8633
Algorithm:TrackParamsEstimationAlgorithm	0.1619	0.01619
Algorithm:TrackFittingAlgorithm	2.424	0.2424
Writer:CsvParticleWriter	1.807	0.1807
Writer:CsvMeasurementWriter	2.413	0.2413
Writer:CsvSimHitWriter	2.469	0.2469
Writer:CsvMeasurementWriter	2.398	0.2398
Writer:CsvTrackingGeometryWriter	3.557e-05	3.557e-06
Writer:TrackFinderPerformanceWriter	0.1824	0.01824
Writer:RootTrajectorySummaryWriter	0.1904	0.01904
Writer:CsvParticleWriter:endRun	2.7e-07	2.7e-08
Writer:CsvMeasurementWriter:endRun	2.9e-07	2.9e-08
Writer:CsvSimHitWriter:endRun	2.8e-07	2.8e-08
Writer:CsvMeasurementWriter:endRun	4e-08	4e-09
Writer:CsvTrackingGeometryWriter:endRun	0.265	0.0265
Writer:TrackFinderPerformanceWriter:endRun	0.0752	0.00752
Writer:RootTrajectorySummaryWriter:endRun	0.008066	0.0008066
