identifier	time_total_s	time_perevent_s
Reader:EventGenerator	4.017	0.4017
Algorithm:ParticleSelector	0.02544	0.002544
Algorithm:FatrasSimulation	1.71	0.171
Algorithm:DigitizationAlgorithm	0.4205	0.04205
Algorithm:SpacePointMaker	0.1119	0.01119
Algorithm:TrackFindingMLBasedAlgorithm	8.665	0.8665
Algorithm:TrackParamsEstimationAlgorithm	0.1528	0.01528
Algorithm:TrackFittingAlgorithm	2.397	0.2397
Algorithm:TruthTrackFinder	0.03121	0.003121
Algorithm:TrackParamsEstimationAlgorithm	0.1415	0.01415
Algorithm:TrackFittingAlgorithm	2.398	0.2398
Algorithm:TrackFindingAlgorithm	9.067	0.9067
Algorithm:TruthSeedSelector	0.03231	0.003231
Algorithm:SpacePointMaker	0.108	0.0108
Algorithm:SeedingAlgorithm	0.6759	0.06759
Algorithm:TrackParamsEstimationAlgorithm	0.04813	0.004813
Algorithm:TrackFindingAlgorithm	28.12	2.812
Algorithm:TrajectoriesToPrototracks	0.1308	0.01308
Writer:CsvParticleWriter	1.789	0.1789
Writer:CsvMeasurementWriter	2.392	0.2392
Writer:CsvSimHitWriter	2.479	0.2479
Writer:CsvMeasurementWriter	2.394	0.2394
Writer:CsvTrackingGeometryWriter	5.744e-05	5.744e-06
Writer:TrackFinderPerformanceWriter	0.1808	0.01808
Writer:RootTrajectorySummaryWriter	0.1873	0.01873
Writer:RootTrajectorySummaryWriter	0.1967	0.01967
Writer:RootTrajectorySummaryWriter	0.4772	0.04772
Writer:TrackFinderPerformanceWriter	0.3207	0.03207
Writer:RootTrajectorySummaryWriter	1.412	0.1412
Writer:CsvParticleWriter:endRun	5.2e-07	5.2e-08
Writer:CsvMeasurementWriter:endRun	4.1e-07	4.1e-08
Writer:CsvSimHitWriter:endRun	2.7e-07	2.7e-08
Writer:CsvMeasurementWriter:endRun	4e-08	4e-09
Writer:CsvTrackingGeometryWriter:endRun	0.2749	0.02749
Writer:TrackFinderPerformanceWriter:endRun	0.08382	0.008382
Writer:RootTrajectorySummaryWriter:endRun	0.01156	0.001156
Writer:RootTrajectorySummaryWriter:endRun	0.008332	0.0008332
Writer:RootTrajectorySummaryWriter:endRun	0.01141	0.001141
Writer:TrackFinderPerformanceWriter:endRun	0.009902	0.0009902
Writer:RootTrajectorySummaryWriter:endRun	0.0009335	9.335e-05
