timestamp, index, memory.total [MiB], memory.reserved [MiB], memory.free [MiB], memory.used [MiB]
2022/11/15 13:27:00.507, 0, 40960, 575, 37641, 2743
2022/11/15 13:27:00.507, 1, 40960, 575, 39969, 415
2022/11/15 13:27:00.507, 2, 40960, 575, 39969, 415
2022/11/15 13:27:00.507, 3, 40960, 575, 39969, 415
2022/11/15 13:27:00.517, 0, 40960, 575, 37641, 2743
2022/11/15 13:27:00.517, 1, 40960, 575, 39969, 415
2022/11/15 13:27:00.517, 2, 40960, 575, 39969, 415
2022/11/15 13:27:00.517, 3, 40960, 575, 39969, 415
2022/11/15 13:27:00.527, 0, 40960, 575, 37641, 2743
2022/11/15 13:27:00.527, 1, 40960, 575, 39969, 415
2022/11/15 13:27:00.527, 2, 40960, 575, 39969, 415
2022/11/15 13:27:00.527, 3, 40960, 575, 39969, 415
2022/11/15 13:27:00.537, 0, 40960, 575, 37641, 2743
2022/11/15 13:27:00.537, 1, 40960, 575, 39969, 415
2022/11/15 13:27:00.538, 2, 40960, 575, 39969, 415
2022/11/15 13:27:00.538, 3, 40960, 575, 39969, 415
2022/11/15 13:27:00.548, 0, 40960, 575, 37641, 2743
2022/11/15 13:27:00.548, 1, 40960, 575, 39969, 415
2022/11/15 13:27:00.548, 2, 40960, 575, 39969, 415
2022/11/15 13:27:00.548, 3, 40960, 575, 39969, 415
2022/11/15 13:27:00.558, 0, 40960, 575, 37641, 2743
2022/11/15 13:27:00.558, 1, 40960, 575, 39969, 415
2022/11/15 13:27:00.558, 2, 40960, 575, 39969, 415
2022/11/15 13:27:00.558, 3, 40960, 575, 39969, 415
2022/11/15 13:27:00.568, 0, 40960, 575, 37641, 2743
2022/11/15 13:27:00.568, 1, 40960, 575, 39969, 415
2022/11/15 13:27:00.568, 2, 40960, 575, 39969, 415
2022/11/15 13:27:00.568, 3, 40960, 575, 39969, 415
2022/11/15 13:27:00.578, 0, 40960, 575, 37641, 2743
2022/11/15 13:27:00.578, 1, 40960, 575, 39969, 415
2022/11/15 13:27:00.578, 2, 40960, 575, 39969, 415
2022/11/15 13:27:00.578, 3, 40960, 575, 39969, 415
2022/11/15 13:27:00.588, 0, 40960, 575, 37641, 2743
2022/11/15 13:27:00.588, 1, 40960, 575, 39969, 415
2022/11/15 13:27:00.588, 2, 40960, 575, 39969, 415
2022/11/15 13:27:00.588, 3, 40960, 575, 39969, 415
2022/11/15 13:27:00.599, 0, 40960, 575, 37641, 2743
2022/11/15 13:27:00.599, 1, 40960, 575, 39969, 415
2022/11/15 13:27:00.599, 2, 40960, 575, 39969, 415
2022/11/15 13:27:00.599, 3, 40960, 575, 39969, 415
2022/11/15 13:27:00.609, 0, 40960, 575, 37641, 2743
2022/11/15 13:27:00.609, 1, 40960, 575, 39969, 415
2022/11/15 13:27:00.609, 2, 40960, 575, 39969, 415
2022/11/15 13:27:00.609, 3, 40960, 575, 39969, 415
2022/11/15 13:27:00.619, 0, 40960, 575, 37641, 2743
2022/11/15 13:27:00.619, 1, 40960, 575, 39969, 415
2022/11/15 13:27:00.619, 2, 40960, 575, 39969, 415
2022/11/15 13:27:00.619, 3, 40960, 575, 39969, 415
2022/11/15 13:27:00.629, 0, 40960, 575, 37641, 2743
2022/11/15 13:27:00.629, 1, 40960, 575, 39969, 415
2022/11/15 13:27:00.629, 2, 40960, 575, 39969, 415
2022/11/15 13:27:00.629, 3, 40960, 575, 39969, 415
2022/11/15 13:27:00.640, 0, 40960, 575, 37641, 2743
2022/11/15 13:27:00.640, 1, 40960, 575, 39969, 415
2022/11/15 13:27:00.640, 2, 40960, 575, 39969, 415
2022/11/15 13:27:00.640, 3, 40960, 575, 39969, 415
2022/11/15 13:27:00.650, 0, 40960, 575, 37641, 2743
2022/11/15 13:27:00.650, 1, 40960, 575, 39969, 415
2022/11/15 13:27:00.650, 2, 40960, 575, 39969, 415
2022/11/15 13:27:00.650, 3, 40960, 575, 39969, 415
2022/11/15 13:27:00.660, 0, 40960, 575, 37641, 2743
2022/11/15 13:27:00.660, 1, 40960, 575, 39969, 415
2022/11/15 13:27:00.660, 2, 40960, 575, 39969, 415
2022/11/15 13:27:00.660, 3, 40960, 575, 39969, 415
2022/11/15 13:27:00.670, 0, 40960, 575, 37641, 2743
2022/11/15 13:27:00.670, 1, 40960, 575, 39969, 415
