identifier	time_total_s	time_perevent_s
Reader:EventGenerator	4.281	0.4281
Algorithm:ParticleSelector	0.02677	0.002677
Algorithm:FatrasSimulation	1.787	0.1787
Algorithm:DigitizationAlgorithm	0.4024	0.04024
Algorithm:SpacePointMaker	0.1143	0.01143
Algorithm:TrackFindingMLBasedAlgorithm	8.812	0.8812
Algorithm:TrackParamsEstimationAlgorithm	0.1682	0.01682
Algorithm:TrackFittingAlgorithm	2.4	0.24
Algorithm:TruthTrackFinder	0.02983	0.002983
Algorithm:TrackParamsEstimationAlgorithm	0.145	0.0145
Algorithm:TrackFittingAlgorithm	2.511	0.2511
Algorithm:TrackFindingAlgorithm	10.07	1.007
Algorithm:TruthSeedSelector	0.03295	0.003295
Algorithm:SpacePointMaker	0.1214	0.01214
Algorithm:SeedingAlgorithm	0.7278	0.07278
Algorithm:TrackParamsEstimationAlgorithm	0.05526	0.005526
Algorithm:TrackFindingAlgorithm	29.37	2.937
Algorithm:TrajectoriesToPrototracks	0.1654	0.01654
Writer:CsvParticleWriter	1.856	0.1856
Writer:CsvMeasurementWriter	2.544	0.2544
Writer:CsvSimHitWriter	2.713	0.2713
Writer:CsvMeasurementWriter	2.414	0.2414
Writer:CsvTrackingGeometryWriter	0.0001449	1.449e-05
Writer:TrackFinderPerformanceWriter	0.1816	0.01816
Writer:RootTrajectorySummaryWriter	0.1927	0.01927
Writer:RootTrajectorySummaryWriter	0.1995	0.01995
Writer:RootTrajectorySummaryWriter	0.5036	0.05036
Writer:TrackFinderPerformanceWriter	0.3093	0.03093
Writer:RootTrajectorySummaryWriter	1.49	0.149
Writer:CsvParticleWriter:endRun	1.8e-07	1.8e-08
Writer:CsvMeasurementWriter:endRun	1.8e-07	1.8e-08
Writer:CsvSimHitWriter:endRun	1.6e-07	1.6e-08
Writer:CsvMeasurementWriter:endRun	4e-08	4e-09
Writer:CsvTrackingGeometryWriter:endRun	0.317	0.0317
Writer:TrackFinderPerformanceWriter:endRun	0.09391	0.009391
Writer:RootTrajectorySummaryWriter:endRun	0.01174	0.001174
Writer:RootTrajectorySummaryWriter:endRun	0.007915	0.0007915
Writer:RootTrajectorySummaryWriter:endRun	0.01086	0.001086
Writer:TrackFinderPerformanceWriter:endRun	0.02868	0.002868
Writer:RootTrajectorySummaryWriter:endRun	0.001207	0.0001207
