identifier	time_total_s	time_perevent_s
Reader:EventGenerator	3.823	0.3823
Algorithm:ParticleSelector	0.02407	0.002407
Algorithm:FatrasSimulation	7.102	0.7102
Algorithm:DigitizationAlgorithm	1.027	0.1027
Algorithm:SpacePointMaker	0.2857	0.02857
Algorithm:TrackFindingMLBasedAlgorithm	44.24	4.424
Algorithm:TrackParamsEstimationAlgorithm	1.358	0.1358
Algorithm:TrackFittingAlgorithm	8.223	0.8223
Algorithm:TruthTrackFinder	0.101	0.0101
Algorithm:TrackParamsEstimationAlgorithm	0.411	0.0411
Algorithm:TrackFittingAlgorithm	9.209	0.9209
Algorithm:TrackFindingAlgorithm	157.2	15.72
Algorithm:TruthSeedSelector	0.1126	0.01126
Algorithm:SpacePointMaker	0.2425	0.02425
Algorithm:SeedingAlgorithm	3.512	0.3512
Algorithm:TrackParamsEstimationAlgorithm	0.1511	0.01511
Algorithm:TrackFindingAlgorithm	466.7	46.67
Algorithm:TrajectoriesToPrototracks	2.031	0.2031
Writer:CsvParticleWriter	1.715	0.1715
Writer:CsvMeasurementWriter	5.62	0.562
Writer:CsvSimHitWriter	6.057	0.6057
Writer:CsvMeasurementWriter	5.643	0.5643
Writer:CsvTrackingGeometryWriter	8.038e-05	8.038e-06
Writer:TrackFinderPerformanceWriter	0.7579	0.07579
Writer:RootTrajectorySummaryWriter	0.4966	0.04966
Writer:RootTrajectorySummaryWriter	0.6845	0.06845
Writer:RootTrajectorySummaryWriter	7.209	0.7209
Writer:TrackFinderPerformanceWriter	6.396	0.6396
Writer:RootTrajectorySummaryWriter	24.41	2.441
Writer:CsvParticleWriter:endRun	1.9e-07	1.9e-08
Writer:CsvMeasurementWriter:endRun	2.8e-07	2.8e-08
Writer:CsvSimHitWriter:endRun	1.5e-07	1.5e-08
Writer:CsvMeasurementWriter:endRun	5e-08	5e-09
Writer:CsvTrackingGeometryWriter:endRun	0.2557	0.02557
Writer:TrackFinderPerformanceWriter:endRun	0.01466	0.001466
Writer:RootTrajectorySummaryWriter:endRun	0.0005658	5.658e-05
Writer:RootTrajectorySummaryWriter:endRun	0.0005421	5.421e-05
Writer:RootTrajectorySummaryWriter:endRun	0.0005077	5.077e-05
Writer:TrackFinderPerformanceWriter:endRun	0.1021	0.01021
Writer:RootTrajectorySummaryWriter:endRun	0.001154	0.0001154
